environment_steps,update,learning_rate,mean_recent_return,policy_loss,value_loss,entropy,jis,alpha_is,ratio_mean,ratio_std,dimension_clipped_fraction,actor_grad_norm,critic_grad_norm
24576,12,0.00023241599999999996,54.80498057522848,-0.003297360178839881,0.2499663306865841,4.191543661057949,0.0007879442838458553,8.0,1.0001505300402642,0.022438634721626393,3.255208430346102e-05,0.8949429569765925,0.25529484620783477
26624,13,0.000226272,100.96323710697796,-0.0033079075277782977,0.22971908203326166,4.185999077558518,0.0008023173159202391,8.0,1.000177695415914,0.023090595518982536,1.627604215173051e-05,0.9272539848461747,0.2527101118583232
28672,14,0.00022012799999999996,99.1571656203286,-0.004207986408437137,0.24319882574491203,4.180363035202026,0.0008434569768653114,8.0,0.9999051440507174,0.022883346947463013,1.627604215173051e-05,0.8672777838073671,0.2600239633116871
30720,15,0.000213984,64.13976207232017,-0.0031181183992885055,0.17829781603068112,4.17575985789299,0.0006607274899125288,4.0,1.0002043331041932,0.020840053972990203,1.627604215173051e-05,0.9337746089324355,0.23363343826495112
32768,16,0.00020784000000000002,104.33235777290312,-0.006939639714255463,0.1967384646181017,4.173972037434578,0.002134083244149595,8.0,1.0002245120704174,0.03716987679867669,0.0010742187820142134,0.8905179744586349,0.26049985012505206
34816,17,0.000201696,134.2300028821105,-0.0035322735900990667,0.1707294371444732,4.175495439767838,0.0007822556231730333,8.0,0.9998206809163094,0.022125244284725776,9.765625291038304e-05,0.9866178926080466,0.2405314469942823
36864,18,0.000195552,122.56389399289534,-0.003512607172160642,0.19690544854383915,4.178298892080784,0.000741129431318732,8.0,0.9996809804812073,0.02167810816911364,0.00013020833721384407,0.9322689022868872,0.2603243590798229
38912,19,0.00018940799999999996,125.88298600235984,-0.0037850840570172297,0.16702427598647773,4.176691633462906,0.0008395350537739796,8.0,1.0001202188432217,0.02314390274924578,0.00011393229506211356,0.9585402574390173,0.23907865658402444
40960,20,0.00018326399999999999,89.3239855982982,-0.0033031732462404763,0.17514897417277098,4.178538313508033,0.0006828119352448891,8.0,0.9997463300824165,0.020862851549135475,4.882812645519152e-05,0.905683000292629,0.24988576313480734
43008,21,0.00017711999999999998,101.72472367609376,-0.0036323408043244854,0.16039939664769917,4.178280620276928,0.0006844591370793573,8.0,0.9996637618169188,0.02046814839412776,0.00011393229506211356,0.9020783810876309,0.2347732245689258
45056,22,0.00017097599999999998,147.5148929667268,-0.003160438070335658,0.12523765505757184,4.177216176688671,0.0006454856186543994,4.0,0.9996670000255108,0.020079148057214648,9.765625291038304e-05,0.9232374899089336,0.21052384746726602
47104,23,0.00016483199999999996,160.2181133141361,-0.005862159181560855,0.08747018577996642,4.169660417735576,0.0016501039516669507,8.0,1.0002728333696722,0.03243654887461807,0.0004882812645519152,0.9667162680067122,0.1807006204733625
49152,24,0.00015868799999999998,158.6283493746702,-0.003134575588774169,0.09774780167499557,4.168418471515179,0.0006339468807525366,4.0,1.0000670874491333,0.01998971379730412,0.00014648437936557457,0.9213214139454067,0.1847052794881165
51200,25,0.000152544,189.88612538994897,-0.00510140866463189,0.07083027948974632,4.169060711562634,0.001362973918112731,4.0,1.0001036394387484,0.028921468075672595,0.0007812500232830643,0.9120845155790448,0.15961142731830477
53248,26,0.00014639999999999998,188.91506117868465,-0.005264461513797869,0.06767441557021811,4.164527142047882,0.001411707318004603,4.0,1.0002737801522017,0.02980772321731844,0.0007324218968278728,0.9432077111676336,0.14372947253286839
55296,27,0.000140256,184.61784982001308,-0.002441622850165004,0.06323471931973472,4.167323848605156,0.0008947651685645363,4.0,1.000247659161687,0.02377289406737417,0.0002441406322759576,0.872933938447386,0.1483080858248286
57344,28,0.00013411199999999998,205.7965517535396,-0.007104152227475425,0.036249358048371504,4.164513406157494,0.0012523663802611203,4.0,1.0002969622612,0.027966024225869468,0.0007649739811313339,0.8848052401095629,0.10975940220523625
